Review,Rating,Sentiment,Sentiment_Label,Sentiment_Code
"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome
50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy
See Low light photos are amazing..",5.0,0.38316326530612244,Positive,1
Good,5.0,0.7,Positive,1
"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.",5.0,0.1607843137254902,Positive,1
Nice camera but battery drain fast specially on video recording,5.0,0.38571428571428573,Positive,1
Nice UI and Fast,4.0,0.4,Positive,1
Unboxing overall good experience 😊,4.0,0.35,Positive,1
Awesome 👍,4.0,1.0,Positive,1
"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone",5.0,0.6950000000000001,Positive,1
"The best camera best design !!
1st iphone 14 !!
i tried all conditions light photo
the quality is best i was impressed with device
battery backup is good
perform is very impressive 🔥",5.0,0.8714285714285716,Positive,1
Just amazing!,4.6,0.7500000000000001,Positive,1
"Reasons to get it over regular 13
- 50 percent extra ram
- Better camera sensors
- Cinematic mode at 4k 30 fps (13 could only do 1080p 30fps)
- Action mode for super stabilised videos
- Better low light photos thanks to photonic engine
- Better battery life
- Extra gpu core for high graphics performance
- New improved modem for fast and efficient mobile connectivity
- Dual ambient light sensors
- Better camera flash
- Crash detection
- Satellite connectivity (though currently not in I...
READ MORE",5.0,0.22148484848484848,Positive,1
"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.",5.0,0.7048571428571428,Positive,1
Thanku filipkart best phone in the world ❤️,5.0,1.0,Positive,1
"Just awesome....❤️🙌😌
Display Camera Battery Processor....
JUST WOW....✨💗☺️",5.0,0.0,Neutral,0
"Amazing product, love the design and the feel is awesome
Performance is very smooth.",5.0,0.655,Positive,1
Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍,5.0,0.2,Positive,1
"The volume down button is struck and unable to volume up. The Flipkart team is saying it is open box delivery so they can't help.......how can we check the volume without opening/start the mobile, when i ask this question the customer support placing my call on hold and dropping my call",1.0,-0.21851851851851853,Negative,0
Amazing device for daily life about camera about sound quality all are good,5.0,0.425,Positive,1
Ultimate,4.6,0.0,Neutral,0
Just perfect!!,5.0,1.0,Positive,1
Performance is really good and camera quality is fine,5.0,0.5583333333333333,Positive,1
Amazing!pictures...📸 everything good 😍,5.0,0.7,Positive,1
Nice look badiya phone after one year use great working,4.0,0.7,Positive,1
"I used iPhone 12 mini and now upgraded with iPhone 14.
Camera quality is awesome.
Full day battery backup.
Super Retina display with high dynamic range is awesome.

In terms of camera and battery life is big upgrade for me.",5.0,0.40619047619047616,Positive,1
"Very nice product, camera quality is just amazing everything seems too real.
Phone is very fast.",5.0,0.46,Positive,1
